GB02,ISIC02
3957,2930
3959,2930
,
3961,2930
3969,2930
,
3971,3150
3972,3150
3979,3150
,
3991,3190
3999,3190
,
,
4011,3220
4012,3220
4013,3220
4014,3220
4014,3230
4019,3220
4020,3312
,
4031,3220
4032,3230
4039,3230
,
4041,3000
4042,3220
4043,3000
,
4051,3210
4052,3210
4053,3210
4059,3210
,
4061,3210
4062,3210
,
4071,3230
4072,3230
4090,3190
,
,
4111,3313
4112,3312
4113,3312
4114,3312
4115,3312
4119,3312
,
4121,3312
4122,3312
4123,3312
4124,3312
4125,3312
4126,3699
4127,3312
4128,3312
4129,3312
4130,3330
,
4141,3320
4142,3320
,
4151,3320
4152,3320
4153,3320
4154,3000
4155,3000
4159,3000
4190,3312
,
,
4211,3699
4211,2029
4211,2695
4212,2899
4213,3699
4214,3699
4215,2029
4216,1729
4217,1722
4217,1721
4218,3691
4219,3699
,
4221,2610
4222,3699
4229,3699
4230,1030
4230,1010
4230,1020
4240,3699
4290,3699
,
4310,3710
4320,3720
,
,
,
4411,4010
4412,4010
4413,4010
4419,4010
4420,4010
4430,4430
,
4500,4020
,
4610,4100
4620,4100
4690,4100
,
,
4710,4520
,
4721,4520
4722,4520
4723,4520
4724,4520
4729,4520
 ,
4800,4530
 ,
4900,4540
,
5010,4510
5020,4550
5090,4520
,4540
,
5110,6010
5120,6010
,
5131,6303
5132,6303
5139,6303
,
5210,6021
5220,6023
,
5231,6303
5232,6303
5239,6303
,
5310,6021
5320,6021
5330,6022
5340,6120
5390,6022
,
,
5411,6110
5412,6110
5413,6120
,
5421,6110
5422,6110
5423,6120
,
5431,6303
5432,6303
,6301
5439,6303
,
 ,
5511,6210
5511,6220
5512,6220
5512,6210
5520,6220
,
5531,6303
5532,6303
5539,6303
,
5600,6030
,
5710,6301
5720,6309
,
5810,6302
5890,6302
,
5910,6411
5990,6412
,
,
,
6011,6420
6012,6420
6019,6420
6020,7240
,
6031,6420
6032,6420
6040,5420
,
6110,7210
6120,7230
6130,7250
6190,7290
,
,
6211,7220
6212,7220
6290,7220
,
,
,
6311,5121
6312,5121
6313,5121
6314,5121
6319,5121
,
6321,5122
6322,5122
6323,5122
6324,5122
6325,5122
6326,5122
6327,5122
6329,5122
,
6331,5131
6332,5131
6333,5131
6334,5139
6335,5139
6339,5139
,
6341,5139
6342,5139
6343,5139
6344,5139
6345,5139
6346,5139
6349,5139
,
6351,5139
6352,5139
6353,5139
,
6361,5141
6362,5141
6363,5143
6364,5142
6365,5143
6366,5149
6367,5149
6368,5149
6369,5149
6369,5143
6371,5150
6372,5150
6373,5143
6373,5139
6374,5139
6375,5150
6376,5150
6379,5150
6380,5110
 ,
6391,5149
6399,5190
,
,
6511,5219
6512,5211
6519,5211
,
6521,5220
6522,5220
6523,5220
6524,5220
6525,5220
6526,5220
6529,5220
,
6531,5232
6532,5232
6533,5232
6534,5239
6535,5231
6539,5233
,
6541,5239
6542,5239
6543,5239
6544,5239
6545,5239
