S_2011,S_2017,pdf_page,source_line
0932,0932,98,0932 稀土金属矿采选 0932 稀土金属矿采选
0933,0933,98,0933 放射性金属矿采选 0933 放射性金属矿采选
0939,0939,98,0939 其他稀有金属矿采选 0939 其他稀有金属矿采选
1011,1011,98,1011 石灰石、石膏开采 1011 石灰石、石膏开采
1012,1012,98,1012 建筑装饰用石开采 1012 建筑装饰用石开采
1013,1013,98,1013 耐火土石开采 1013 耐火土石开采
1019,1019,98,1019 粘土及其他土砂石开采 1019 粘土及其他土砂石开采
1020,1020,98,1020 化学矿开采 1020 化学矿开采
1030,1030,98,1030 采盐 1030 采盐
1091,1091,98,1091 石棉、云母矿采选 1091 石棉、云母矿采选
1092,1092,98,1092 石墨、滑石采选 1092 石墨、滑石采选
1093,1093,98,1093 宝石、玉石采选 1093 宝石、玉石采选
1099,1099,98,1099 其他未列明非金属矿采选 1099 其他未列明非金属矿采选
1110,1110,98,1110 煤炭开采和洗选专业及辅助性 1110 煤炭开采和洗选辅助活动 更名
1120,1120,98,1120 石油和天然气开采专业及辅助 1120 石油和天然气开采辅助活动 更名
1190,1190,98,1190 其他开采专业及辅助性活动 1190 其他开采辅助活动 更名
1200,1200,98,1200 其他采矿业 1200 其他采矿业
1310,1311,99,1311 稻谷加工 1310 谷物磨制 新增，将原 1310 分解
1310,1312,99,1312 小麦加工 1310 谷物磨制 新增，将原 1310 分解
1310,1313,99,1313 玉米加工 1310 谷物磨制 新增，将原 1310 分解
1310,1314,99,1314 杂粮加工 1310 谷物磨制 新增，将原 1310 分解
1310,1319,99,1319 其他谷物磨制 1310 谷物磨制 新增，将原 1310 分解
1320,1321,99,1321 宠物饲料加工 1320 饲料加工 新增，将原 1320 分解，原 1363
1320,1329,99,1329 其他饲料加工 1320 饲料加工 新增，将原 1320 分解，原 1363
1331,1331,99,1331 食用植物油加工 1331 食用植物油加工
1332,1332,99,1332 非食用植物油加工 1332 非食用植物油加工
1340,1340,99,1340 制糖业 1340 制糖业
1351,1351,99,1351 牲畜屠宰 1351 牲畜屠宰
1352,1352,99,1352 禽类屠宰 1352 禽类屠宰
1353,1353,99,1353 肉制品及副产品加工 1353 肉制品及副产品加工
1361,1361,99,1361 水产品冷冻加工 1361 水产品冷冻加工
1362,1362,99,1362 鱼糜制品及水产品干腌制加 1362 鱼糜制品及水产品干腌制加工
1364,1363,99,1363 鱼油提取及制品制造 1364 鱼油提取及制品制造
1369,1369,99,1369 其他水产品加工 1369 其他水产品加工
1371,1371,99,1371 蔬菜加工 1371 蔬菜加工 内容变更，原 1371 部分内容调
1371,1372,99,1372 食用菌加工 1371 蔬菜加工 新增，原 1371 部分内容调到此
1372,1373,99,1373 水果和坚果加工 1372 水果和坚果加工
1391,1391,99,1391 淀粉及淀粉制品制造 1391 淀粉及淀粉制品制造
1392,1392,100,1392 豆制品制造 1392 豆制品制造
1393,1393,100,1393 蛋品加工 1393 蛋品加工
1399,1399,100,1399 其他未列明农副食品加工 1399 其他未列明农副食品加工
1411,1411,100,1411 糕点、面包制造 1411 糕点、面包制造
1419,1419,100,1419 饼干及其他焙烤食品制造 1419 饼干及其他焙烤食品制造
1421,1421,100,1421 糖果、巧克力制造 1421 糖果、巧克力制造
1422,1422,100,1422 蜜饯制作 1422 蜜饯制作
1431,1431,100,1431 米、面制品制造 1431 米、面制品制造
1432,1432,100,1432 速冻食品制造 1432 速冻食品制造
1439,1433,100,1433 方便面制造 1439 方便面及其他方便食品制造 新增，原 1439 部分内容调到此
1439,1439,100,1439 其他方便食品制造 1439 方便面及其他方便食品制造 内容变更，原 1439 部分内容调
1440,1441,100,1441 液体乳制造 1440 乳制品制造 新增，将原 1440 分解
1440,1442,100,1442 乳粉制造 1440 乳制品制造 新增，将原 1440 分解
1440,1449,100,1449 其他乳制品制造 1440 乳制品制造 新增，将原 1440 分解
1451,1451,100,1451 肉、禽类罐头制造 1451 肉、禽类罐头制造
1452,1452,100,1452 水产品罐头制造 1452 水产品罐头制造
1453,1453,100,1453 蔬菜、水果罐头制造 1453 蔬菜、水果罐头制造
1459,1459,100,1459 其他罐头食品制造 1459 其他罐头食品制造
1461,1461,100,1461 味精制造 1461 味精制造
1462,1462,100,1462 酱油、食醋及类似制品制造 1462 酱油、食醋及类似制品制造
1469,1469,100,1469 其他调味品、发酵制品制造 1469 其他调味品、发酵制品制造
1491,1491,100,1491 营养食品制造 1491 营养食品制造
1492,1492,100,1492 保健食品制造 1492 保健食品制造
1493,1493,100,1493 冷冻饮品及食用冰制造 1493 冷冻饮品及食用冰制造
1494,1494,101,1494 盐加工 1494 盐加工
1495,1495,101,1495 食品及饲料添加剂制造 1495 食品及饲料添加剂制造
1499,1499,101,1499 其他未列明食品制造 1499 其他未列明食品制造
1511,1511,101,1511 酒精制造 1511 酒精制造
1512,1512,101,1512 白酒制造 1512 白酒制造
1513,1513,101,1513 啤酒制造 1513 啤酒制造
1514,1514,101,1514 黄酒制造 1514 黄酒制造
1515,1515,101,1515 葡萄酒制造 1515 葡萄酒制造
1519,1519,101,1519 其他酒制造 1519 其他酒制造
1521,1521,101,1521 碳酸饮料制造 1521 碳酸饮料制造
1522,1522,101,1522 瓶（罐）装饮用水制造 1522 瓶（罐）装饮用水制造
1523,1523,101,1523 果菜汁及果菜汁饮料制造 1523 果菜汁及果菜汁饮料制造
1524,1524,101,1524 含乳饮料和植物蛋白饮料制 1524 含乳饮料和植物蛋白饮料制造
1525,1525,101,1525 固体饮料制造 1525 固体饮料制造
1529,1529,101,1529 茶饮料及其他饮料制造 1529 茶饮料及其他饮料制造
1530,1530,101,1530 精制茶加工 1530 精制茶加工
1610,1610,101,1610 烟叶复烤 1610 烟叶复烤
1620,1620,101,1620 卷烟制造 1620 卷烟制造
1690,1690,101,1690 其他烟草制品制造 1690 其他烟草制品制造
1711,1711,101,1711 棉纺纱加工 1711 棉纺纱加工
1712,1712,101,1712 棉织造加工 1712 棉织造加工
1713,1713,101,1713 棉印染精加工 1713 棉印染精加工
1721,1721,101,1721 毛条和毛纱线加工 1721 毛条和毛纱线加工
1722,1722,101,1722 毛织造加工 1722 毛织造加工
1723,1723,101,1723 毛染整精加工 1723 毛染整精加工
1731,1731,102,1731 麻纤维纺前加工和纺纱 1731 麻纤维纺前加工和纺纱
1732,1732,102,1732 麻织造加工 1732 麻织造加工
1733,1733,102,1733 麻染整精加工 1733 麻染整精加工
1741,1741,102,1741 缫丝加工 1741 缫丝加工
1742,1742,102,1742 绢纺和丝织加工 1742 绢纺和丝织加工
1743,1743,102,1743 丝印染精加工 1743 丝印染精加工
1751,1751,102,1751 化纤织造加工 1751 化纤织造加工
