S_2011,S_2017,pdf_page,source_line
3055,3055,110,3055 玻璃包装容器制造 3055 玻璃包装容器制造
3056,3056,110,3056 玻璃保温容器制造 3056 玻璃保温容器制造
3057,3057,110,3057 制镜及类似品加工 3057 制镜及类似品加工
3059,3059,110,3059 其他玻璃制品制造 3059 其他玻璃制品制造
3061,3061,111,3061 玻璃纤维及制品制造 3061 玻璃纤维及制品制造
3062,3062,111,3062 玻璃纤维增强塑料制品制造 3062 玻璃纤维增强塑料制品制造
3032,3071,111,3071 建筑陶瓷制品制造 3032 建筑陶瓷制品制造 调整，从原“303 砖瓦、石材等
3071,3072,111,3072 卫生陶瓷制品制造 3071 卫生陶瓷制品制造
3072,3073,111,3073 特种陶瓷制品制造 3072 特种陶瓷制品制造
3073,3074,111,3074 日用陶瓷制品制造 3073 日用陶瓷制品制造
3079,3075,111,3075 陈设艺术陶瓷制造 3079 园林、陈设艺术及其他陶瓷制 新增，将原 3079 分解
3079,3076,111,3076 园艺陶瓷制造 3079 园林、陈设艺术及其他陶瓷制 新增，将原 3079 分解
3079,3079,111,3079 其他陶瓷制品制造 3079 园林、陈设艺术及其他陶瓷制 新增，将原 3079 分解
3081,3081,111,3081 石棉制品制造 3081 石棉制品制造
3082,3082,111,3082 云母制品制造 3082 云母制品制造
3089,3089,111,3089 耐火陶瓷制品及其他耐火材 3089 耐火陶瓷制品及其他耐火材料
3091,3091,111,3091 石墨及碳素制品制造 3091 石墨及碳素制品制造
3099,3099,111,3099 其他非金属矿物制品制造 3099 其他非金属矿物制品制造
3110,3110,111,3110 炼铁 3110 炼铁
3120,3120,111,3120 炼钢 3120 炼钢
3140,3130,111,3130 钢压延加工 3140 钢压延加工
3150,3140,111,3140 铁合金冶炼 3150 铁合金冶炼
3211,3211,111,3211 铜冶炼 3211 铜冶炼
3212,3212,111,3212 铅锌冶炼 3212 铅锌冶炼
3213,3213,112,3213 镍钴冶炼 3213 镍钴冶炼
3214,3214,112,3214 锡冶炼 3214 锡冶炼
3215,3215,112,3215 锑冶炼 3215 锑冶炼
3216,3216,112,3216 铝冶炼 3216 铝冶炼
3217,3217,112,3217 镁冶炼 3217 镁冶炼
3219,3218,112,3218 硅冶炼 3219 其他常用有色金属冶炼 新增，原 3219 部分内容调到此
3219,3219,112,3219 其他常用有色金属冶炼 3219 其他常用有色金属冶炼 内容变更，原 3219 部分内容调
3221,3221,112,3221 金冶炼 3221 金冶炼
3222,3222,112,3222 银冶炼 3222 银冶炼
3229,3229,112,3229 其他贵金属冶炼 3229 其他贵金属冶炼
3231,3231,112,3231 钨钼冶炼 3231 钨钼冶炼
3232,3232,112,3232 稀土金属冶炼 3232 稀土金属冶炼
3239,3239,112,3239 其他稀有金属冶炼 3239 其他稀有金属冶炼
3240,3240,112,3240 有色金属合金制造 3240 有色金属合金制造
3261,3251,112,3251 铜压延加工 3261 铜压延加工
3262,3252,112,3252 铝压延加工 3262 铝压延加工
3263,3253,112,3253 贵金属压延加工 3263 贵金属压延加工
3264,3254,112,3254 稀有稀土金属压延加工 3264 稀有稀土金属压延加工
3269,3259,112,3259 其他有色金属压延加工 3269 其他有色金属压延加工
3311,3311,112,3311 金属结构制造 3311 金属结构制造
3312,3312,112,3312 金属门窗制造 3312 金属门窗制造
3321,3321,112,3321 切削工具制造 3321 切削工具制造
3322,3322,112,3322 手工具制造 3322 手工具制造
3323,3323,112,3323 农用及园林用金属工具制造 3323 农用及园林用金属工具制造
3324,3324,112,3324 刀剪及类似日用金属工具制 3324 刀剪及类似日用金属工具制造
3329,3329,113,3329 其他金属工具制造 3329 其他金属工具制造
3331,3331,113,3331 集装箱制造 3331 集装箱制造
3332,3332,113,3332 金属压力容器制造 3332 金属压力容器制造
3333,3333,113,3333 金属包装容器及材料制造 3333 金属包装容器制造
3340,3340,113,3340 金属丝绳及其制品制造 3340 金属丝绳及其制品制造
3351,3351,113,3351 建筑、家具用金属配件制造 3351 建筑、家具用金属配件制造
3352,3352,113,3352 建筑装饰及水暖管道零件制 3352 建筑装饰及水暖管道零件制造
3353,3353,113,3353 安全、消防用金属制品制造 3353 安全、消防用金属制品制造
3359,3359,113,3359 其他建筑、安全用金属制品制 3359 其他建筑、安全用金属制品制
3360,3360,113,3360 金属表面处理及热处理加工 3360 金属表面处理及热处理加工
3371,3371,113,3371 生产专用搪瓷制品制造 3371 生产专用搪瓷制品制造
3372,3372,113,3372 建筑装饰搪瓷制品制造 3372 建筑装饰搪瓷制品制造
3373,3373,113,3373 搪瓷卫生洁具制造 3373 搪瓷卫生洁具制造
3379,3379,113,3379 搪瓷日用品及其他搪瓷制品 3379 搪瓷日用品及其他搪瓷制品制
3381,3381,113,3381 金属制厨房用器具制造 3381 金属制厨房用器具制造
3382,3382,113,3382 金属制餐具和器皿制造 3382 金属制餐具和器皿制造
3383,3383,113,3383 金属制卫生器具制造 3383 金属制卫生器具制造
3389,3389,113,3389 其他金属制日用品制造 3389 其他金属制日用品制造
3130,3391,113,3391 黑色金属铸造 3130 黑色金属铸造 调整，从原“31 黑色金属冶炼
3250,3392,113,3392 有色金属铸造 3250 有色金属铸造 调整，从原“32 有色金属冶炼
3391,3393,113,3393 锻件及粉末冶金制品制造 3391 锻件及粉末冶金制品制造
3392,3394,113,3394 交通及公共管理用金属标牌 3392 交通及公共管理用金属标牌制
3399,3399,113,3399 其他未列明金属制品制造 3399 其他未列明金属制品制造
3411,3411,114,3411 锅炉及辅助设备制造 3411 锅炉及辅助设备制造
3412,3412,114,3412 内燃机及配件制造 3412 内燃机及配件制造
3413,3413,114,3413 汽轮机及辅机制造 3413 汽轮机及辅机制造
3414,3414,114,3414 水轮机及辅机制造 3414 水轮机及辅机制造
3415,3415,114,3415 风能原动设备制造 3415 风能原动设备制造
3419,3419,114,3419 其他原动设备制造 3419 其他原动设备制造
3421,3421,114,3421 金属切削机床制造 3421 金属切削机床制造
3422,3422,114,3422 金属成形机床制造 3422 金属成形机床制造
3423,3423,114,3423 铸造机械制造 3423 铸造机械制造
3424,3424,114,3424 金属切割及焊接设备制造 3424 金属切割及焊接设备制造
3425,3425,114,3425 机床功能部件及附件制造 3425 机床附件制造 更名
3429,3429,114,3429 其他金属加工机械制造 3429 其他金属加工机械制造
3431,3431,114,3431 轻小型起重设备制造 3431 轻小型起重设备制造
3432,3432,114,3432 生产专用起重机制造 3432 起重机制造 更名
3433,3433,114,3433 生产专用车辆制造 3433 生产专用车辆制造
3434,3434,114,3434 连续搬运设备制造 3434 连续搬运设备制造
3435,3435,114,3435 电梯、自动扶梯及升降机制造 3435 电梯、自动扶梯及升降机制造
3439,3436,114,3436 客运索道制造 3439 其他物料搬运设备制造 新增，原 3439 部分内容调到此
3439,3437,114,3437 机械式停车设备制造 3439 其他物料搬运设备制造 新增，原 3439 部分内容调到此
3439,3439,114,3439 其他物料搬运设备制造 3439 其他物料搬运设备制造 内容变更，原 3439 部分内容调
3441,3441,114,3441 泵及真空设备制造 3441 泵及真空设备制造
3442,3442,114,3442 气体压缩机械制造 3442 气体压缩机械制造
3443,3443,114,3443 阀门和旋塞制造 3443 阀门和旋塞制造
3444,3444,114,3444 液压动力机械及元件制造 3444 液压和气压动力机械及元件制 新增，将原 3444 分解
3444,3445,115,3445 液力动力机械元件制造 3444 液压和气压动力机械及元件制 新增，将原 3444 分解
3444,3446,115,3446 气压动力机械及元件制 3444 液压和气压动力机械及元件制 新增，将原 3445 分解
3451,3451,115,3451 滚动轴承制造 3451 轴承制造 新增，将原 3451 分解
3451,3452,115,3452 滑动轴承制造 3451 轴承制造 新增，将原 3451 分解
3452,3453,115,3453 齿轮及齿轮减、变速箱制造 3452 齿轮及齿轮减、变速箱制造
3459,3459,115,3459 其他传动部件制造 3459 其他传动部件制造
3461,3461,115,3461 烘炉、熔炉及电炉制造 3461 烘炉、熔炉及电炉制造
3462,3462,115,3462 风机、风扇制造 3462 风机、风扇制造
3463,3463,115,3463 气体、液体分离及纯净设备制 3463 气体、液体分离及纯净设备制
3464,3464,115,3464 制冷、空调设备制造 3464 制冷、空调设备制造
3465,3465,115,3465 风动和电动工具制造 3465 风动和电动工具制造
3466,3466,115,3466 喷枪及类似器具制造 3466 喷枪及类似器具制造
3468,3467,115,3467 包装专用设备制造 3468 包装专用设备制造
3471,3471,115,3471 电影机械制造 3471 电影机械制造
3472,3472,115,3472 幻灯及投影设备制造 3472 幻灯及投影设备制造
3473,3473,115,3473 照相机及器材制造 3473 照相机及器材制造
3474,3474,115,3474 复印和胶印设备制造 3474 复印和胶印设备制造
3475,3475,115,3475 计算器及货币专用设备制造 3475 计算器及货币专用设备制造
3479,3479,115,3479 其他文化、办公用机械制造 3479 其他文化、办公用机械制造
3481,3481,115,3481 金属密封件制造 3481 金属密封件制造
3482,3482,115,3482 紧固件制造 3482 紧固件制造
3483,3483,115,3483 弹簧制造 3483 弹簧制造
3484,3484,115,3484 机械零部件加工 3484 机械零部件加工
3489,3489,115,3489 其他通用零部件制造 3489 其他通用零部件制造
3599,3491,115,3491 工业机器人制造 3599 其他专用设备制造 新增，原 3599 部分内容调到此
3599,3492,116,3492 特殊作业机器人制造 3599 其他专用设备制造 新增，原 3599 部分内容调到此
3490,3493,116,3493 增材制造装备制造 3490 其他通用设备制造 新增，原 3490 部分内容调到此
3490,3499,116,3499 其他未列明通用设备制造业 3490 其他通用设备制造 更名，内容变更，原 3490 部分
3511,3511,116,3511 矿山机械制造 3511 矿山机械制造
3512,3512,116,3512 石油钻采专用设备制造 3512 石油钻采专用设备制造 内容变更，原 3512 部分内容调
3512,3513,116,3513 深海石油钻探设备制造 3512 石油钻采专用设备制造 新增，原 3512 部分内容调到此
3513,3514,116,3514 建筑工程用机械制造 3513 建筑工程用机械制造 内容变更，原 3513 部分内容调
3515,3515,116,3515 建筑材料生产专用机械制造 3515 建筑材料生产专用机械制造
3516,3516,116,3516 冶金专用设备制造 3516 冶金专用设备制造
3513,3517,116,3517 隧道施工专用机械制造 3513 建筑工程用机械制造 新增，原 3513 部分内容调到此
3521,3521,116,3521 炼油、化工生产专用设备制造 3521 炼油、化工生产专用设备制造
3522,3522,116,3522 橡胶加工专用设备制造 3522 橡胶加工专用设备制造
3523,3523,116,3523 塑料加工专用设备制造 3523 塑料加工专用设备制造
3524,3524,116,3524 木竹材加工机械制造 3524 木材加工机械制造 更名
3525,3525,116,3525 模具制造 3525 模具制造
3529,3529,116,3529 其他非金属加工专用设备制 3529 其他非金属加工专用设备制造
3531,3531,116,3531 食品、酒、饮料及茶生产专用 3531 食品、酒、饮料及茶生产专用
3532,3532,116,3532 农副食品加工专用设备制造 3532 农副食品加工专用设备制造
3533,3533,116,3533 烟草生产专用设备制造 3533 烟草生产专用设备制造
3534,3534,117,3534 饲料生产专用设备制造 3534 饲料生产专用设备制造
3541,3541,117,3541 制浆和造纸专用设备制造 3541 制浆和造纸专用设备制造
3542,3542,117,3542 印刷专用设备制造 3542 印刷专用设备制造
3543,3543,117,3543 日用化工专用设备制造 3543 日用化工专用设备制造
3544,3544,117,3544 制药专用设备制造 3544 制药专用设备制造
3545,3545,117,3545 照明器具生产专用设备制造 3545 照明器具生产专用设备制造
3546,3546,117,3546 玻璃、陶瓷和搪瓷制品生产专 3546 玻璃、陶瓷和搪瓷制品生产专
3549,3549,117,3549 其他日用品生产专用设备制 3549 其他日用品生产专用设备制造
3551,3551,117,3551 纺织专用设备制造 3551 纺织专用设备制造
3552,3552,117,3552 皮革、毛皮及其制品加工专用 3552 皮革、毛皮及其制品加工专用
3553,3553,117,3553 缝制机械制造 3553 缝制机械制造
3554,3554,117,3554 洗涤机械制造 3554 洗涤机械制造
3561,3561,117,3561 电工机械专用设备制造 3561 电工机械专用设备制造
3562,3562,117,3562 半导体器件专用设备制造 3562 电子工业专用设备制造 新增，将原 3562 分解
3562,3563,117,3563 电子元器件与机电组件设备 3562 电子工业专用设备制造 新增，将原 3562 分解
3562,3569,117,3569 其他电子专用设备制造 3562 电子工业专用设备制造 新增，将原 3562 分解
3571,3571,117,3571 拖拉机制造 3571 拖拉机制造
3572,3572,117,3572 机械化农业及园艺机具制造 3572 机械化农业及园艺机具制造
3573,3573,117,3573 营林及木竹采伐机械制造 3573 营林及木竹采伐机械制造
3574,3574,117,3574 畜牧机械制造 3574 畜牧机械制造
3575,3575,117,3575 渔业机械制造 3575 渔业机械制造
3576,3576,117,3576 农林牧渔机械配件制造 3576 农林牧渔机械配件制造
3577,3577,117,3577 棉花加工机械制造 3577 棉花加工机械制造
3579,3579,117,3579 其他农、林、牧、渔业机械制 3579 其他农、林、牧、渔业机械制
3581,3581,118,3581 医疗诊断、监护及治疗设备制 3581 医疗诊断、监护及治疗设备制
3582,3582,118,3582 口腔科用设备及器具制造 3582 口腔科用设备及器具制造
3583,3583,118,3583 医疗实验室及医用消毒设备 3583 医疗实验室及医用消毒设备和
3584,3584,118,3584 医疗、外科及兽医用器械制造 3584 医疗、外科及兽医用器械制造
3585,3585,118,3585 机械治疗及病房护理设备制 3585 机械治疗及病房护理设备制造
3586,3586,118,3586 康复辅具制造 3586 假肢、人工器官及植（介）入 新增，原 3586 被分解，部分内
4042,3587,118,3587 眼镜制造 4042 眼镜制造 调整，从原“40 仪器仪表制造
3586,3589,118,3589 其他医疗设备及器械制造 3586 假肢、人工器官及植（介）入 内容变更，原 3586 部分内容调
3591,3591,118,3591 环境保护专用设备制造 3591 环境保护专用设备制造
3592,3592,118,3592 地质勘查专用设备制造 3592 地质勘查专用设备制造
3593,3593,118,3593 邮政专用机械及器材制造 3593 邮政专用机械及器材制造
3594,3594,118,3594 商业、饮食、服务专用设备制 3594 商业、饮食、服务专用设备制
3595,3595,118,3595 社会公共安全设备及器材制 3595 社会公共安全设备及器材制造
3596,3596,118,3596 交通安全、管制及类似专用设 3596 交通安全、管制及类似专用设
3597,3597,118,3597 水资源专用机械制造 3597 水资源专用机械制造
3599,3599,118,3599 其他专用设备制造 3599 其他专用设备制造 内容变更，原 3599 部分内容调
3610,3611,118,3611 汽柴油车整车制造 3610 汽车整车制造 新增，将原 3610 分解
3610,3612,119,3612 新能源车整车制造 3610 汽车整车制造 新增，将原 3610 分解
3610,3620,119,3620 汽车用发动机制造 3610 汽车整车制造 新增，将原 3610 分解
3620,3630,119,3630 改装汽车制造 3620 改装汽车制造 更名
3630,3640,119,3640 低速汽车制造 3630 低速载货汽车制造
3640,3650,119,3650 电车制造 3640 电车制造
3650,3660,119,3660 汽车车身、挂车制造 3650 汽车车身、挂车制造
3660,3670,119,3670 汽车零部件及配件制造 3660 汽车零部件及配件制造
3711,3711,119,3711 高铁车组制造 3711 铁路机车车辆及动车组制造 新增，将原 3711 分解
3711,3712,119,3712 铁路机车车辆制造 3711 铁路机车车辆及动车组制造 新增，将原 3711 分解
3712,3713,119,3713 窄轨机车车辆制造 3712 窄轨机车车辆制造
3713,3714,119,3714 高铁设备、配件制造 3713 铁路机车车辆配件制造 新增，原 3713 部分内容调到此
3713,3715,119,3715 铁路机车车辆配件制造 3713 铁路机车车辆配件制造 内容变更，原 3713 部分内容调
3714,3716,119,3716 铁路专用设备及器材、配件制 3714 铁路专用设备及器材、配件制
3719,3719,119,3719 其他铁路运输设备制造 3719 其他铁路运输设备制造
3720,3720,119,3720 城市轨道交通设备制造 3720 城市轨道交通设备制造
3731,3731,119,3731 金属船舶制造 3731 金属船舶制造
3732,3732,119,3732 非金属船舶制造 3732 非金属船舶制造
3733,3733,119,3733 娱乐船和运动船制造 3733 娱乐船和运动船制造
3734,3734,119,3734 船用配套设备制造 3734 船用配套设备制造
3735,3735,119,3735 船舶改装 3735 船舶改装与拆除 新增，将原 3735 分解
3735,3736,119,3736 船舶拆除 3735 船舶改装与拆除 新增，将原 3735 分解
3514,3737,119,3737 海洋工程装备制造 3514 海洋工程专用设备制造 更名，调整，从原“35 专用设
3739,3739,119,3739 航标器材及其他相关装置制 3739 航标器材及其他相关装置制造
3741,3741,119,3741 飞机制造 3741 飞机制造
3742,3742,120,3742 航天器及运载火箭制造 3742 航天器制造 更名
3743,3743,120,3743 航天相关设备制造 3743 航空、航天相关设备制造 新增，将原 3743 分解
3743,3744,120,3744 航空相关设备制造 3743 航空、航天相关设备制造 新增，将原 3743 分解
3749,3749,120,3749 其他航空航天器制造 3749 其他航空航天器制造
3751,3751,120,3751 摩托车整车制造 3751 摩托车整车制造
3752,3752,120,3752 摩托车零部件及配件制造 3752 摩托车零部件及配件制造
3761,3761,120,3761 自行车制造 3761 脚踏自行车及残疾人座车制造 新增，将原 3761 分解
3761,3762,120,3762 残疾人座车制造 3761 脚踏自行车及残疾人座车制造 新增，将原 3761 分解
3762,3770,120,3770 助动车制造 3762 助动自行车制造 更名
3770,3780,120,3780 非公路休闲车及零配件制造 3770 非公路休闲车及零配件制造
3791,3791,120,3791 潜水装备制造 3791 潜水及水下救捞装备制造 新增，将原 3791 分解
3791,3792,120,3792 水下救捞装备制造 3791 潜水及水下救捞装备制造 新增，将原 3791 分解
3799,3799,120,3799 其他未列明运输设备制造 3799 其他未列明运输设备制造
3811,3811,120,3811 发电机及发电机组制造 3811 发电机及发电机组制造
3812,3812,120,3812 电动机制造 3812 电动机制造
3819,3813,120,3813 微特电机及组件制造 3819 微电机及其他电机制造 新增，将原 3819 分解
3819,3819,120,3819 其他电机制造 3819 微电机及其他电机制造 新增，将原 3819 分解
3821,3821,120,3821 变压器、整流器和电感器制造 3821 变压器、整流器和电感器制造
3822,3822,120,3822 电容器及其配套设备制造 3822 电容器及其配套设备制造
3823,3823,120,3823 配电开关控制设备制造 3823 配电开关控制设备制造
3824,3824,120,3824 电力电子元器件制造 3824 电力电子元器件制造
3825,3825,120,3825 光伏设备及元器件制造 3825 光伏设备及元器件制造
3829,3829,120,3829 其他输配电及控制设备制造 3829 其他输配电及控制设备制造
3831,3831,120,3831 电线、电缆制造 3831 电线、电缆制造
3832,3832,120,3832 光纤制造 3832 光纤、光缆制造 新增，将原 3832 分解
3832,3833,121,3833 光缆制造 3832 光纤、光缆制造 新增，将原 3832 分解
3833,3834,121,3834 绝缘制品制造 3833 绝缘制品制造
3839,3839,121,3839 其他电工器材制造 3839 其他电工器材制造
3841,3841,121,3841 锂离子电池制造 3841 锂离子电池制造
3842,3842,121,3842 镍氢电池制造 3842 镍氢电池制造
3849,3843,121,3843 铅蓄电池制造 3849 其他电池制造 新增，原 3849 部分内容调到此
3849,3844,121,3844 锌锰电池制造 3849 其他电池制造 新增，原 3849 部分内容调到此
3849,3849,121,3849 其他电池制造 3849 其他电池制造 内容变更，原 3849 部分内容调
3851,3851,121,3851 家用制冷电器具制造 3851 家用制冷电器具制造
3852,3852,121,3852 家用空气调节器制造 3852 家用空气调节器制造
3853,3853,121,3853 家用通风电器具制造 3853 家用通风电器具制造
3854,3854,121,3854 家用厨房电器具制造 3854 家用厨房电器具制造
3855,3855,121,3855 家用清洁卫生电器具制造 3855 家用清洁卫生电器具制造 内容变更，原 3855 部分内容调
3856,3856,121,3856 家用美容、保健护理电器具制 3856 家用美容、保健电器具制造 更名
3857,3857,121,3857 家用电力器具专用配件制造 3857 家用电力器具专用配件制造
3859,3859,121,3859 其他家用电力器具制造 3859 其他家用电力器具制造 内容变更，原 3859 部分内容调
3861,3861,121,3861 燃气及类似能源家用器具制 3861 燃气、太阳能及类似能源家用 新增，将原 3861 分解
3861,3862,121,3862 太阳能器具制造 3861 燃气、太阳能及类似能源家用 新增，将原 3861 分解
3869,3869,121,3869 其他非电力家用器具制造 3869 其他非电力家用器具制造
3871,3871,121,3871 电光源制造 3871 电光源制造
3872,3872,121,3872 照明灯具制造 3872 照明灯具制造 内容变更，原 3872 部分内容调
3872,3873,122,3873 舞台及场地用灯制造 3872 照明灯具制造 新增，原 3872 部分内容调到此
3879,3874,122,3874 智能照明器具制造 3879 灯用电器附件及其他照明器具 新增，原 3879 部分内容调到此
3879,3879,122,3879 灯用电器附件及其他照明器 3879 灯用电器附件及其他照明器具 内容变更，原 3879 部分内容调
3891,3891,122,3891 电气信号设备装置制造 3891 电气信号设备装置制造
3899,3899,122,3899 其他未列明电气机械及器材 3899 其他未列明电气机械及器材制
3911,3911,122,3911 计算机整机制造 3911 计算机整机制造
3912,3912,122,3912 计算机零部件制造 3912 计算机零部件制造
3913,3913,122,3913 计算机外围设备制造 3913 计算机外围设备制造
3919,3914,122,3914 工业控制计算机及系统制造 3919 其他计算机制造 新增，原 3919 部分内容调到此
3919,3915,122,3915 信息安全设备制造 3919 其他计算机制造 新增，原 3919 部分内容调到此
3919,3919,122,3919 其他计算机制造 3919 其他计算机制造 内容变更，原 3919 部分内容调
3921,3921,122,3921 通信系统设备制造 3921 通信系统设备制造
3922,3922,122,3922 通信终端设备制造 3922 通信终端设备制造
3931,3931,122,3931 广播电视节目制作及发射设 3931 广播电视节目制作及发射设备
3932,3932,122,3932 广播电视接收设备制造 3932 广播电视接收设备及器材制造 新增，将原 3932 分解
3932,3933,122,3933 广播电视专用配件制造 3932 广播电视接收设备及器材制造 新增，将原 3932 分解
3932,3934,122,3934 专业音响设备制造 3932 广播电视接收设备及器材制造 新增，将原 3932 分解
3939,3939,122,3939 应用电视设备及其他广播电 3939 应用电视设备及其他广播电视
3940,3940,122,3940 雷达及配套设备制造 3940 雷达及配套设备制造
3951,3951,123,3951 电视机制造 3951 电视机制造
3952,3952,123,3952 音响设备制造 3952 音响设备制造
3953,3953,123,3953 影视录放设备制造 3953 影视录放设备制造
3990,3961,123,3961 可穿戴智能设备制造 3990 其他电子设备制造 新增，原 3990 部分内容调到此
3990,3962,123,3962 智能车载设备制造 3990 其他电子设备制造 新增，原 3990 部分内容调到此
3990,3963,123,3963 智能无人飞行器制造 3990 其他电子设备制造 新增，原 3990 部分内容调到此
3599,3964,123,3964 服务消费机器人制造 3599 其他专用设备制造 新增，原 3599 部分内容调到此
3990,3969,123,3969 其他智能消费设备制造 3990 其他电子设备制造 新增，原 3990 部分内容调到此
3961,3971,123,3971 电子真空器件制造 3961 电子真空器件制造
3962,3972,123,3972 半导体分立器件制造 3962 半导体分立器件制造
3963,3973,123,3973 集成电路制造 3963 集成电路制造
3969,3974,123,3974 显示器件制造 3969 光电子器件及其他电子器件制 新增，将原 3969 分解
3969,3975,123,3975 半导体照明器件制造 3969 光电子器件及其他电子器件制 新增，将原 3969 分解
3969,3976,123,3976 光电子器件制造 3969 光电子器件及其他电子器件制 新增，将原 3969 分解
3969,3979,123,3979 其他电子器件制造 3969 光电子器件及其他电子器件制 新增，将原 3969 分解
3971,3981,124,3981 电阻电容电感元件制造 3971 电子元件及组件制造 新增，将原 3971 分解
3972,3982,124,3982 电子电路制造 3972 印制电路板制造 更名
3971,3983,124,3983 敏感元件及传感器制造 3971 电子元件及组件制造 新增，将原 3971 分解
3971,3984,124,3984 电声器件及零件制造 3971 电子元件及组件制造 新增，将原 3971 分解
3971,3985,124,3985 电子专用材料制造 3971 电子元件及组件制造 新增，将原 3971 分解
3971,3989,124,3989 其他电子元件制造 3971 电子元件及组件制造 新增，将原 3971 分解
3990,3990,124,3990 其他电子设备制造 3990 其他电子设备制造 内容变更，原 3990 部分内容调
4011,4011,124,4011 工业自动控制系统装置制造 4011 工业自动控制系统装置制造
4012,4012,124,4012 电工仪器仪表制造 4012 电工仪器仪表制造
4013,4013,124,4013 绘图、计算及测量仪器制造 4013 绘图、计算及测量仪器制造
4014,4014,124,4014 实验分析仪器制造 4014 实验分析仪器制造
4015,4015,124,4015 试验机制造 4015 试验机制造
4019,4016,124,4016 供应用仪器仪表制造 4019 供应用仪表及其他通用仪器制 新增，将原 4019 分解
4019,4019,124,4019 其他通用仪器制造 4019 供应用仪表及其他通用仪器制 新增，将原 4019 分解
4021,4021,124,4021 环境监测专用仪器仪表制造 4021 环境监测专用仪器仪表制造
4022,4022,124,4022 运输设备及生产用计数仪表 4022 运输设备及生产用计数仪表制
4023,4023,124,4023 导航、测绘、气象及海洋专用 4023 导航、气象及海洋专用仪器制 更名
4024,4024,124,4024 农林牧渔专用仪器仪表制造 4024 农林牧渔专用仪器仪表制造
4025,4025,124,4025 地质勘探和地震专用仪器制 4025 地质勘探和地震专用仪器制造
4026,4026,124,4026 教学专用仪器制造 4026 教学专用仪器制造
4027,4027,124,4027 核子及核辐射测量仪器制造 4027 核子及核辐射测量仪器制造
4028,4028,124,4028 电子测量仪器制造 4028 电子测量仪器制造
4029,4029,124,4029 其他专用仪器制造 4029 其他专用仪器制造
4030,4030,124,4030 钟表与计时仪器制造 4030 钟表与计时仪器制造
4041,4040,124,4040 光学仪器制造 4041 光学仪器制造
3467,4050,125,4050 衡器制造 3467 衡器制造 调整，从原“34 通用设备制造
4090,4090,125,4090 其他仪器仪表制造业 4090 其他仪器仪表制造业
4111,4111,125,4111 鬃毛加工、制刷及清扫工具制 4111 鬃毛加工、制刷及清扫工具制
4119,4119,125,4119 其他日用杂品制造 4119 其他日用杂品制造
4130,4120,125,4120 核辐射加工 4130 核辐射加工
4190,4190,125,4190 其他未列明制造业 4190 其他未列明制造业
4210,4210,125,4210 金属废料和碎屑加工处理 4210 金属废料和碎屑加工处理
4220,4220,125,4220 非金属废料和碎屑加工处理 4220 非金属废料和碎屑加工处理
4310,4310,125,4310 金属制品修理 4310 金属制品修理
4320,4320,125,4320 通用设备修理 4320 通用设备修理
4330,4330,125,4330 专用设备修理 4330 专用设备修理
4341,4341,125,4341 铁路运输设备修理 4341 铁路运输设备修理
4342,4342,125,4342 船舶修理 4342 船舶修理
4343,4343,125,4343 航空航天器修理 4343 航空航天器修理
4349,4349,125,4349 其他运输设备修理 4349 其他运输设备修理
4350,4350,125,4350 电气设备修理 4350 电气设备修理
4360,4360,125,4360 仪器仪表修理 4360 仪器仪表修理
4390,4390,125,4390 其他机械和设备修理业 4390 其他机械和设备修理业
4411,4411,125,4411 火力发电 4411 火力发电 内容变更，原 4411 部分内容调
4411,4412,125,4412 热电联产 4411 火力发电 新增，原 4411 部分内容调到此
4412,4413,126,4413 水力发电 4412 水力发电
4413,4414,126,4414 核力发电 4413 核力发电
4414,4415,126,4415 风力发电 4414 风力发电
4415,4416,126,4416 太阳能发电 4415 太阳能发电
4419,4417,126,4417 生物质能发电 4419 其他电力生产 新增，原 4419 部分内容调到此
4419,4419,126,4419 其他电力生产 4419 其他电力生产 内容变更，原 4419 部分内容调
4420,4420,126,4420 电力供应 4420 电力供应 内容变更，原 4420 部分内容调
4430,4430,126,4430 热力生产和供应 4430 热力生产和供应
4500,4511,126,4511 天然气生产和供应业 4500 燃气生产和供应业 新增，将原 4500 分解
4500,4512,126,4512 液化石油气生产和供应业 4500 燃气生产和供应业 新增，将原 4500 分解
4500,4513,126,4513 煤气生产和供应业 4500 燃气生产和供应业 新增，将原 4500 分解
4500,4520,126,4520 生物质燃气生产和供应业 4500 燃气生产和供应业 新增，将原 4500 分解
4610,4610,126,4610 自来水生产和供应 4610 自来水生产和供应
4620,4620,126,4620 污水处理及其再生利用 4620 污水处理及其再生利用
4690,4630,126,4630 海水淡化处理 4690 其他水的处理、利用与分配 新增，原 4690 部分内容调到此
4690,4690,126,4690 其他水的处理、利用与分配 4690 其他水的处理、利用与分配 内容变更，原 4690 部分内容调
4700,4710,126,4710 住宅房屋建筑 4700 房屋建筑业 新增，将原 4700 分解
4700,4720,126,4720 体育场馆建筑 4700 房屋建筑业 新增，将原 4700 分解
4700,4790,126,4790 其他房屋建筑业 4700 房屋建筑业 新增，将原 4700 分解
4811,4811,126,4811 铁路工程建筑 4811 铁路工程建筑
4812,4812,126,4812 公路工程建筑 4812 公路工程建筑
4813,4813,127,4813 市政道路工程建筑 4813 市政道路工程建筑 内容变更，原 4813 部分内容调
4813,4814,127,4814 城市轨道交通工程建筑 4813 市政道路工程建筑 新增，原 4813 部分内容调到此
