"from_year","to_year","level","from_code","to_code","to_code_all","source_pair"
"2002","2011","L","01","01","01","2002_2011"
"2002","2011","L","02","02","02","2002_2011"
"2002","2011","L","03","03","03","2002_2011"
"2002","2011","L","04","04","04","2002_2011"
"2002","2011","L","05","05","05","2002_2011"
"2002","2011","L","05","74","74","2002_2011"
"2002","2011","L","06","06","06","2002_2011"
"2002","2011","L","06","11","11","2002_2011"
"2002","2011","L","07","07","07","2002_2011"
"2002","2011","L","07","11","11","2002_2011"
"2002","2011","L","08","08","08","2002_2011"
"2002","2011","L","09","09","09","2002_2011"
"2002","2011","L","10","10","10","2002_2011"
"2002","2011","L","11","11","11","2002_2011"
"2002","2011","L","11","12","12","2002_2011"
"2002","2011","L","13","13","13","2002_2011"
"2002","2011","L","14","14","14","2002_2011"
"2002","2011","L","15","15","15","2002_2011"
"2002","2011","L","16","16","16","2002_2011"
"2002","2011","L","17","17","17","2002_2011"
"2002","2011","L","17","18","18","2002_2011"
"2002","2011","L","18","18","18","2002_2011"
"2002","2011","L","18","19","19","2002_2011"
"2002","2011","L","19","19","19","2002_2011"
"2002","2011","L","20","20","20","2002_2011"
"2002","2011","L","21","21","21","2002_2011"
"2002","2011","L","22","22","22","2002_2011"
"2002","2011","L","23","23","23","2002_2011"
"2002","2011","L","24","24","24","2002_2011"
"2002","2011","L","25","25","25","2002_2011"
"2002","2011","L","26","26","26","2002_2011"
"2002","2011","L","27","27","27","2002_2011"
"2002","2011","L","28","28","28","2002_2011"
"2002","2011","L","29","19","19","2002_2011"
"2002","2011","L","29","29","29","2002_2011"
"2002","2011","L","30","19","19","2002_2011"
"2002","2011","L","30","29","29","2002_2011"
"2002","2011","L","31","30","30","2002_2011"
"2002","2011","L","32","31","31","2002_2011"
"2002","2011","L","33","32","32","2002_2011"
"2002","2011","L","34","33","33","2002_2011"
"2002","2011","L","34","43","43","2002_2011"
"2002","2011","L","35","31","31","2002_2011"
"2002","2011","L","35","33","33","2002_2011"
"2002","2011","L","35","34","34","2002_2011"
"2002","2011","L","35","43","43","2002_2011"
"2002","2011","L","36","33","33","2002_2011"
"2002","2011","L","36","35","35","2002_2011"
"2002","2011","L","36","37","37","2002_2011"
"2002","2011","L","36","38","38","2002_2011"
"2002","2011","L","36","43","43","2002_2011"
"2002","2011","L","37","33","33","2002_2011"
"2002","2011","L","37","35","35","2002_2011"
"2002","2011","L","37","36","36","2002_2011"
"2002","2011","L","37","37","37","2002_2011"
"2002","2011","L","37","38","38","2002_2011"
"2002","2011","L","37","43","43","2002_2011"
"2002","2011","L","37","80","80","2002_2011"
"2002","2011","L","39","38","38","2002_2011"
"2002","2011","L","39","43","43","2002_2011"
"2002","2011","L","40","39","39","2002_2011"
"2002","2011","L","41","34","34","2002_2011"
"2002","2011","L","41","40","40","2002_2011"
"2002","2011","L","41","43","43","2002_2011"
"2002","2011","L","42","24","24","2002_2011"
"2002","2011","L","42","30","30","2002_2011"
"2002","2011","L","42","41","41","2002_2011"
"2002","2011","L","43","42","42","2002_2011"
"2002","2011","L","44","44","44","2002_2011"
"2002","2011","L","45","45","45","2002_2011"
"2002","2011","L","46","46","46","2002_2011"
"2002","2011","L","47","47","47","2002_2011"
"2002","2011","L","47","48","48","2002_2011"
"2002","2011","L","48","49","49","2002_2011"
"2002","2011","L","49","50","50","2002_2011"
"2002","2011","L","50","50","50","2002_2011"
"2002","2011","L","51","53","53","2002_2011"
