"hs_system","hs_level","hs_code","isic_revision","isic_level","isic_code","source"
"HS Combined","HS2","10","3","M","153","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","10","3","S","0111","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","10","3","S","1531","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","11","3","L","15","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","11","3","M","151","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","11","3","M","153","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","11","3","M","155","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","11","3","S","1513","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","11","3","S","1531","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","11","3","S","1532","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","11","3","S","1553","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","12","3","L","01","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","12","3","L","05","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","12","3","L","15","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","12","3","M","011","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","12","3","M","050","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","12","3","M","151","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","12","3","S","0111","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","12","3","S","0112","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","12","3","S","0500","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","12","3","S","1513","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","12","3","S","1514","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","13","3","L","02","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","13","3","M","020","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","13","3","S","0200","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","14","3","L","02","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","14","3","L","15","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","14","3","M","020","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","14","3","M","151","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","14","3","S","0200","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","14","3","S","1514","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","15","3","L","01","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","15","3","L","15","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","15","3","L","17","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","15","3","L","24","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","15","3","M","012","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","15","3","M","151","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","15","3","M","153","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","15","3","M","171","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","15","3","M","241","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","15","3","M","242","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","15","3","S","0122","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","15","3","S","1511","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","15","3","S","1514","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","15","3","S","1532","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","15","3","S","1711","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","15","3","S","2411","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","15","3","S","2424","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","15","3","S","2429","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","16","3","L","15","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","16","3","M","151","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","16","3","M","154","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","16","3","S","1511","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","16","3","S","1512","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","16","3","S","1549","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","17","3","L","15","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","17","3","M","152","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","17","3","M","153","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","17","3","M","154","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","17","3","S","1520","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","17","3","S","1532","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","17","3","S","1542","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","17","3","S","1543","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","18","3","L","01","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","18","3","L","15","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","18","3","L","99","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","18","3","M","011","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","18","3","M","154","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","18","3","M","999","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","18","3","S","0113","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","18","3","S","1543","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","18","3","S","9999","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","19","3","L","15","HS_Combined_ISIC_Rev3"
