"gb_year","gb_level","gb_code","isic_revision","isic_level","isic_code","source"
"2002","L","14","3","M","242","GB_T_4754_2002_ISIC_Rev3"
"2002","L","14","3","S","1511","GB_T_4754_2002_ISIC_Rev3"
"2002","L","14","3","S","1512","GB_T_4754_2002_ISIC_Rev3"
"2002","L","14","3","S","1513","GB_T_4754_2002_ISIC_Rev3"
"2002","L","14","3","S","1514","GB_T_4754_2002_ISIC_Rev3"
"2002","L","14","3","S","1520","GB_T_4754_2002_ISIC_Rev3"
"2002","L","14","3","S","1541","GB_T_4754_2002_ISIC_Rev3"
"2002","L","14","3","S","1543","GB_T_4754_2002_ISIC_Rev3"
"2002","L","14","3","S","1544","GB_T_4754_2002_ISIC_Rev3"
"2002","L","14","3","S","1549","GB_T_4754_2002_ISIC_Rev3"
"2002","L","14","3","S","2429","GB_T_4754_2002_ISIC_Rev3"
"2002","L","15","3","L","15","GB_T_4754_2002_ISIC_Rev3"
"2002","L","15","3","M","151","GB_T_4754_2002_ISIC_Rev3"
"2002","L","15","3","M","154","GB_T_4754_2002_ISIC_Rev3"
"2002","L","15","3","M","155","GB_T_4754_2002_ISIC_Rev3"
"2002","L","15","3","S","1513","GB_T_4754_2002_ISIC_Rev3"
"2002","L","15","3","S","1549","GB_T_4754_2002_ISIC_Rev3"
"2002","L","15","3","S","1551","GB_T_4754_2002_ISIC_Rev3"
"2002","L","15","3","S","1552","GB_T_4754_2002_ISIC_Rev3"
"2002","L","15","3","S","1553","GB_T_4754_2002_ISIC_Rev3"
"2002","L","15","3","S","1554","GB_T_4754_2002_ISIC_Rev3"
"2002","L","16","3","L","16","GB_T_4754_2002_ISIC_Rev3"
"2002","L","16","3","M","160","GB_T_4754_2002_ISIC_Rev3"
"2002","L","16","3","S","1600","GB_T_4754_2002_ISIC_Rev3"
"2002","L","17","3","L","17","GB_T_4754_2002_ISIC_Rev3"
"2002","L","17","3","L","18","GB_T_4754_2002_ISIC_Rev3"
"2002","L","17","3","M","171","GB_T_4754_2002_ISIC_Rev3"
"2002","L","17","3","M","172","GB_T_4754_2002_ISIC_Rev3"
"2002","L","17","3","M","173","GB_T_4754_2002_ISIC_Rev3"
"2002","L","17","3","M","181","GB_T_4754_2002_ISIC_Rev3"
"2002","L","17","3","S","1711","GB_T_4754_2002_ISIC_Rev3"
"2002","L","17","3","S","1712","GB_T_4754_2002_ISIC_Rev3"
"2002","L","17","3","S","1721","GB_T_4754_2002_ISIC_Rev3"
"2002","L","17","3","S","1723","GB_T_4754_2002_ISIC_Rev3"
"2002","L","17","3","S","1729","GB_T_4754_2002_ISIC_Rev3"
"2002","L","17","3","S","1730","GB_T_4754_2002_ISIC_Rev3"
"2002","L","17","3","S","1810","GB_T_4754_2002_ISIC_Rev3"
"2002","L","18","3","L","18","GB_T_4754_2002_ISIC_Rev3"
"2002","L","18","3","L","19","GB_T_4754_2002_ISIC_Rev3"
"2002","L","18","3","M","181","GB_T_4754_2002_ISIC_Rev3"
"2002","L","18","3","M","192","GB_T_4754_2002_ISIC_Rev3"
"2002","L","18","3","S","1810","GB_T_4754_2002_ISIC_Rev3"
"2002","L","18","3","S","1920","GB_T_4754_2002_ISIC_Rev3"
"2002","L","19","3","L","15","GB_T_4754_2002_ISIC_Rev3"
"2002","L","19","3","L","17","GB_T_4754_2002_ISIC_Rev3"
"2002","L","19","3","L","18","GB_T_4754_2002_ISIC_Rev3"
"2002","L","19","3","L","19","GB_T_4754_2002_ISIC_Rev3"
"2002","L","19","3","M","151","GB_T_4754_2002_ISIC_Rev3"
"2002","L","19","3","M","172","GB_T_4754_2002_ISIC_Rev3"
"2002","L","19","3","M","181","GB_T_4754_2002_ISIC_Rev3"
"2002","L","19","3","M","182","GB_T_4754_2002_ISIC_Rev3"
